id,length,score
shapelet_00,60,2.1297330337827987
shapelet_01,60,1.9727897711768951
shapelet_02,60,1.7159091220098883
shapelet_03,60,1.538163341992857
shapelet_04,60,1.446737725029384
shapelet_05,30,0.985960545033715
shapelet_06,30,0.8730583798529099
shapelet_07,14,0.6482082401597793
shapelet_08,30,0.5995808722300957
shapelet_09,30,0.5532169688712011
shapelet_10,7,0.5182943830987071
shapelet_11,30,0.5152707775964185
shapelet_12,14,0.4516330637249255
shapelet_13,14,0.4190995027793921
shapelet_14,14,0.38944291468956255
shapelet_15,14,0.3317271641440755
shapelet_16,7,0.14561524796782513
shapelet_17,7,0.1443461731578321
shapelet_18,7,0.1387641853178751
shapelet_19,7,0.13269362268552645
