bucket,method,k,silhouette
dense,kmeans,3,0.27921004812664546
dense,gmm,3,0.1985679049374984
dense,gmm,5,0.1761763747280813
dense,gmm,4,0.1497119447067037
dense,kmeans,6,0.1174733820022112
dense,kmeans,4,0.11489924729291716
dense,kmeans,5,0.10920281781151443
dense,kmeans,8,0.10782106091582525
dense,gmm,6,0.0730440606201289
dense,gmm,8,0.031823515279737924
dense,dbscan_eps0.3,0,-1.0
dense,dbscan_eps0.5,0,-1.0
dense,dbscan_eps0.8,0,-1.0
dense,hdbscan_mcs30,0,-1.0
dense,hdbscan_mcs50,0,-1.0
dense,hdbscan_mcs100,0,-1.0
high_zero,kmeans,3,0.872873005966019
high_zero,kmeans,4,0.7555402837475033
high_zero,kmeans,5,0.3140278617363523
high_zero,kmeans,6,0.313192021912486
high_zero,kmeans,8,0.20445098297807315
high_zero,gmm,6,0.062323740309846366
high_zero,gmm,3,0.02927150389049608
high_zero,gmm,8,0.0017434035316922
high_zero,gmm,4,-0.03801266736790585
high_zero,gmm,5,-0.05545745788013479
high_zero,dbscan_eps0.3,0,-1.0
high_zero,dbscan_eps0.5,0,-1.0
high_zero,dbscan_eps0.8,0,-1.0
high_zero,hdbscan_mcs30,0,-1.0
high_zero,hdbscan_mcs50,0,-1.0
high_zero,hdbscan_mcs100,0,-1.0
moderate_zero,kmeans,3,0.8639395923778169
moderate_zero,kmeans,4,0.8428679823070306
moderate_zero,kmeans,5,0.8329314276823183
moderate_zero,kmeans,8,0.6675369241722727
moderate_zero,kmeans,6,0.6166088962057761
moderate_zero,gmm,5,-0.21858686925951154
moderate_zero,gmm,8,-0.23306070953487687
moderate_zero,gmm,6,-0.26399035423101447
moderate_zero,gmm,3,-0.3071689945106086
moderate_zero,gmm,4,-0.3345356626590277
moderate_zero,dbscan_eps0.3,0,-1.0
moderate_zero,dbscan_eps0.5,0,-1.0
moderate_zero,dbscan_eps0.8,0,-1.0
moderate_zero,hdbscan_mcs30,0,-1.0
moderate_zero,hdbscan_mcs50,0,-1.0
moderate_zero,hdbscan_mcs100,0,-1.0
