ID,cluster
11024,2
11026,0
11049,2
11053,2
11077,2
11094,2
11098,2
11103,2
11106,2
11109,2
11116,0
11134,2
11144,2
11174,2
11195,2
11215,2
11217,2
11231,2
11245,2
11284,2
11290,2
11291,0
11301,2
11315,2
11338,2
11346,2
11350,2
11368,2
11409,0
11424,2
11428,2
11447,2
11472,2
11486,2
11536,2
11575,2
11608,2
11625,1
11628,2
11656,2
11667,1
11694,2
11695,2
11699,2
11700,2
11701,0
11705,2
11714,2
11717,2
11761,2
11772,2
11793,0
11800,2
11817,2
11886,2
11899,0
11923,2
11935,2
11936,2
11983,2
12015,0
12016,0
12070,2
12083,2
12101,2
12128,2
12138,2
12195,2
12207,0
12215,2
12243,1
12303,2
12308,2
12316,2
12321,0
12329,2
12360,1
12362,2
12371,2
12389,2
12406,2
12416,2
12454,1
12491,0
12514,2
12583,2
12591,2
12594,2
12615,1
12619,2
12634,2
12697,2
12702,2
12710,1
12730,2
12750,2
12765,2
12777,2
12778,2
12782,2
12814,2
12817,2
12823,2
12837,2
12842,2
12886,2
12905,2
12927,1
12930,2
12931,2
12936,2
12939,2
12955,2
12978,0
12989,2
12999,2
13013,0
13022,2
13025,2
13071,2
13080,2
13102,2
13109,1
13135,2
13142,2
13152,2
13161,2
13173,2
13251,2
13256,2
13271,2
13272,2
13287,2
13299,0
13325,2
13331,2
13334,0
13361,2
13367,2
13401,2
13425,2
13433,2
13440,0
13450,1
13466,2
13473,1
13484,2
13498,2
13510,2
13550,1
13551,2
13593,2
13641,0
13655,2
13680,2
13686,1
13687,1
13695,2
13709,2
13731,2
13734,2
13759,2
13770,2
13786,2
13855,0
13862,2
13879,2
13911,2
13921,1
13930,0
13935,0
13938,2
13952,2
13960,2
14023,2
14054,2
14059,2
14088,2
14153,2
14168,2
14170,2
14177,0
14201,2
14202,2
14212,2
14215,2
14279,1
14282,1
14301,2
14323,3
14324,1
14341,2
14351,2
14352,2
14383,2
14384,2
14408,2
14437,2
14440,2
14445,2
14449,2
14457,2
14471,2
14474,0
14479,2
14482,2
14492,2
14498,1
14611,2
14645,2
14665,2
14706,2
14708,2
14719,2
14734,2
14740,2
14743,2
14748,2
14751,2
14796,2
14798,2
14853,2
14880,2
14915,2
14917,1
14940,2
14948,2
14951,1
14955,1
14969,2
14970,2
14996,2
15001,1
15015,2
15027,2
15052,2
15071,2
15127,1
15145,2
15154,2
15159,0
15162,1
15202,2
15227,2
15233,2
15251,1
15253,2
15263,2
15299,2
15357,2
15366,2
15405,2
15409,2
15421,2
15451,2
15457,2
15459,1
15478,1
15528,2
15546,2
15551,2
15570,2
15585,1
15601,1
15625,2
15635,2
15655,2
15667,2
15725,2
15731,2
15733,1
15747,0
15749,2
15787,2
15798,1
15819,2
15867,2
15911,2
15923,2
15952,2
15957,0
15966,2
16006,2
16014,2
16017,0
16042,2
16059,2
16089,1
16119,2
16120,2
16159,2
16168,2
16170,0
16173,2
16187,0
16212,2
16216,2
16242,2
16274,2
16301,2
16386,2
16396,2
16440,2
16467,2
16470,2
16476,1
16528,2
16535,1
16569,2
16570,0
16630,2
16679,2
16690,2
16708,2
16716,2
16764,1
16775,2
16791,2
16798,2
16817,2
16851,2
16879,2
16917,2
16918,2
16921,2
16957,3
16959,2
16987,2
17008,2
17014,2
17024,2
17035,2
17058,0
17066,0
17072,0
17074,1
17100,2
17129,2
17137,0
17162,2
17174,2
17221,2
17262,1
17295,2
17299,2
17306,2
17377,2
17384,0
17386,2
17416,2
17430,2
17446,2
17465,2
17474,2
17505,2
17514,2
17570,2
17572,3
17577,2
17601,2
17610,2
17616,1
17678,2
17698,0
17702,2
17706,2
17751,2
17770,2
17807,2
17818,2
17844,1
17854,2
17870,2
17906,2
17916,0
17918,1
17919,1
17964,2
17965,2
17975,2
17977,2
17978,2
18048,2
18053,2
18062,2
18099,0
18111,0
18159,2
18203,2
18215,2
18220,2
18279,2
18330,2
18353,2
18384,1
18399,2
18408,2
18433,2
18450,2
18468,2
18499,2
18506,0
18514,2
18551,2
18560,2
18562,2
18616,0
18673,2
18732,1
18737,2
18752,2
18762,0
18777,2
18778,0
18785,0
18790,0
18800,2
18804,2
18808,2
18809,2
18810,2
18820,2
18921,2
18922,2
18937,1
18942,2
18988,2
19007,2
19020,2
19052,2
19062,2
19078,2
19082,1
19094,2
19114,2
19175,2
19178,2
19192,2
19198,1
19202,2
19203,1
19216,2
19217,2
19223,2
19243,2
19258,2
19270,2
19298,2
19302,2
19308,2
19331,2
19337,2
19338,2
19350,2
19359,0
19399,2
19416,2
19417,1
19437,0
19447,2
19508,2
19528,2
19540,2
19573,2
19587,1
19593,2
19596,1
19604,2
19650,2
19651,2
19673,2
19726,2
19727,1
19743,0
19746,2
19786,1
19829,2
19895,2
19908,2
19913,2
19917,2
19947,2
19964,2
19978,2
19980,2
20055,1
20059,2
20064,2
20071,2
20072,2
20077,2
20101,2
20105,2
20114,0
20135,2
20156,2
20176,2
20189,2
20220,2
20224,2
20241,2
20252,2
20280,0
20281,1
20351,2
20389,1
20394,2
20398,2
20399,2
20403,2
20453,0
20469,0
20498,2
20534,2
20543,2
20559,2
20565,2
20573,0
20592,2
