ID,SparsityBucket,ForecastGroup,MAE
164662,all,0,4.565298893308378
88810,all,0,10.160389153569117
195376,all,1,2.171257840005428
93452,all,1,1.3384566632046733
217416,all,2,1.4426217646312196
194426,all,2,1.7907504602234214
93400,all,8,1.5696315546674156
178861,all,8,0.8604646785037764
260840,all,9,8.768994274061225
255548,all,9,8.481740408700617
35973,all,4,1.5958588340858944
101297,all,4,0.9969070237529735
270560,all,6,0.048190264429629925
1640,all,6,1.251852450124457
258305,all,5,6.347296566634884
1910,all,5,4.067616765449606
255808,all,7,1.5543967039285462
185440,all,7,2.6739861031259453
131992,all,3,5.492094411839554
298601,all,3,4.318065973127733
32013,all,inactive,0.0
178511,all,inactive,0.0
