ID,cluster
22,4
42,11
56,12
58,7
64,8
88,12
95,12
163,8
198,8
202,8
209,12
218,12
223,12
228,8
245,12
246,8
322,12
325,8
342,8
344,4
352,12
358,4
362,12
451,8
471,12
474,8
500,12
518,12
519,12
545,12
559,8
602,12
604,12
611,8
618,12
635,12
654,12
664,8
675,8
720,12
728,8
774,12
804,8
810,12
823,12
827,12
841,7
860,12
871,12
873,0
885,8
890,12
895,4
896,6
901,12
903,12
965,12
989,12
992,8
1001,11
1013,12
1019,8
1029,8
1035,0
1091,8
1099,4
1109,8
1118,8
1124,0
1154,12
1169,8
1180,12
1185,8
1195,8
1199,8
1216,8
1224,12
1236,8
1248,8
1258,8
1271,8
1383,8
1410,8
1420,8
1423,8
1432,8
1441,8
1451,8
1467,8
1501,12
1507,8
1518,12
1526,8
1530,12
1531,8
1548,8
1563,8
1566,12
1567,12
1577,12
1580,8
1596,8
1640,9
1645,8
1648,4
1653,8
1685,8
1687,4
1691,12
1708,8
1710,4
1732,0
1739,8
1745,8
1768,8
1786,8
1788,6
1803,12
1810,8
1812,8
1820,12
1834,4
1841,8
1853,8
1858,12
1861,8
1892,8
1893,7
1906,12
1907,8
1910,12
1923,12
1957,11
1959,12
1979,8
1981,8
1998,12
2002,8
2064,6
2102,12
2111,12
2115,12
2194,8
2219,9
2220,8
2233,12
2246,7
2252,7
2313,12
2319,8
2341,8
2346,8
2374,12
2433,12
2453,8
2466,8
2467,7
2495,7
2497,12
2506,4
2516,4
2537,12
2550,12
2551,4
2586,0
2596,8
2599,12
2609,12
2614,4
2615,8
2621,8
2641,12
2678,12
2693,8
2699,8
2748,12
2751,8
2752,9
2764,8
2792,12
2846,7
2850,8
2865,8
2868,12
2874,8
2935,12
2938,8
2944,12
2947,12
2960,12
2989,4
3007,8
3036,11
3052,8
3062,12
3073,12
3074,12
3080,12
3085,8
3124,4
3134,12
3135,12
3137,8
3150,8
3205,12
3219,8
3220,12
3230,12
3258,12
3267,11
3289,12
3294,12
3310,12
3313,12
3366,8
3367,8
3377,12
3386,8
3387,12
3405,8
3410,12
3427,12
3433,0
3447,12
3454,8
3456,8
3467,8
3487,8
3506,12
3546,12
3614,12
3657,8
3658,12
3660,7
3691,8
3719,12
3732,12
3747,4
3770,11
3787,12
3793,12
3823,8
3863,12
3884,8
3895,12
3901,8
3908,8
3914,8
3961,7
3966,12
3969,8
3976,7
3979,8
4064,12
4069,8
4107,12
4141,4
4158,12
4161,12
4167,12
4172,8
4178,12
4189,12
4190,7
4202,8
4205,12
4213,12
4268,12
4294,8
4295,8
4352,12
4355,8
4370,8
4376,8
4383,8
4394,12
4400,7
4405,7
4438,6
4445,9
4448,12
4477,12
4488,8
4529,8
4533,4
4563,8
4564,8
4573,8
4578,8
4671,12
4672,12
4702,8
4735,12
4744,9
4754,12
4756,8
4758,8
4780,8
4785,12
4814,12
4816,8
4825,8
4847,12
4855,12
4858,12
4918,8
4953,12
4969,8
4989,8
5011,12
5027,8
5029,8
5033,12
5036,8
5061,4
5062,4
5119,8
5168,8
5173,8
5202,8
5205,8
5228,8
5238,8
5243,0
5259,8
5270,8
5297,12
5331,8
5343,8
5352,4
5353,8
5373,12
5424,8
5438,8
5451,12
5465,8
5472,12
5489,12
5494,8
5541,8
5544,8
5546,4
5582,12
5584,8
5587,12
5618,12
5629,8
