ID,cluster
22,0
42,6
56,0
58,4
64,0
88,0
95,6
163,5
198,5
202,2
209,0
218,6
223,6
228,4
245,3
246,1
322,3
325,2
342,5
344,5
352,0
358,0
362,6
451,3
471,6
474,6
500,4
518,4
519,6
545,6
559,0
602,2
604,6
611,5
618,0
635,2
654,6
664,6
675,5
720,1
728,2
774,6
804,2
810,6
823,6
827,0
841,4
860,2
871,6
873,0
885,2
890,6
895,0
896,1
901,0
903,0
965,0
989,0
992,1
1001,6
1013,0
1019,2
1029,4
1035,4
1091,4
1099,0
1109,1
1118,4
1124,6
1154,6
1169,1
1180,0
1185,4
1195,5
1199,1
1216,2
1224,0
1236,5
1248,2
1258,1
1271,4
1383,5
1410,1
1420,5
1423,2
1432,4
1441,2
1451,5
1467,6
1501,6
1507,5
1518,0
1526,4
1530,0
1531,5
1548,1
1563,1
1566,6
1567,6
1577,5
1580,5
1596,3
1640,1
1645,5
1648,0
1653,2
1685,4
1687,4
1691,3
1708,2
1710,5
1732,4
1739,5
1745,1
1768,4
1786,2
1788,1
1803,0
1810,1
1812,5
1820,6
1834,4
1841,2
1853,4
1858,2
1861,4
1892,5
1893,4
1906,6
1907,2
1910,6
1923,3
1957,6
1959,3
1979,6
1981,2
1998,6
2002,1
2064,1
2102,6
2111,0
2115,0
2194,1
2219,4
2220,5
2233,6
2246,4
2252,6
2313,6
2319,5
2341,2
2346,2
2374,0
2433,0
2453,1
2466,6
2467,4
2495,4
2497,0
2506,5
2516,3
2537,6
2550,0
2551,5
2586,6
2596,2
2599,0
2609,0
2614,5
2615,3
2621,5
2641,6
2678,2
2693,5
2699,2
2748,0
2751,1
2752,1
2764,4
2792,6
2846,1
2850,1
2865,2
2868,0
2874,3
2935,6
2938,1
2944,6
2947,6
2960,6
2989,5
3007,1
3036,6
3052,5
3062,6
3073,6
3074,0
3080,1
3085,1
3124,5
3134,6
3135,6
3137,2
3150,4
3205,6
3219,5
3220,1
3230,6
3258,0
3267,6
3289,0
3294,6
3310,0
3313,2
3366,1
3367,5
3377,0
3386,4
3387,6
3405,2
3410,6
3427,0
3433,1
3447,6
3454,0
3456,1
3467,1
3487,1
3506,6
3546,3
3614,6
3657,1
3658,0
3660,4
3691,2
3719,2
3732,3
3747,1
3770,6
3787,6
3793,0
3823,6
3863,2
3884,0
3895,6
3901,4
3908,0
3914,6
3961,4
3966,6
3969,1
3976,4
3979,1
4064,2
4069,5
4107,6
4141,4
4158,0
4161,6
4167,4
4172,4
4178,6
4189,6
4190,4
4202,5
4205,2
4213,6
4268,0
4294,5
4295,5
4352,6
4355,0
4370,5
4376,1
4383,5
4394,0
4400,4
4405,4
4438,1
4445,4
4448,0
4477,0
4488,2
4529,6
4533,5
4563,2
4564,5
4573,3
4578,5
4671,6
4672,6
4702,6
4735,6
4744,1
4754,0
4756,5
4758,1
4780,3
4785,6
4814,5
4816,3
4825,4
4847,6
4855,6
4858,6
4918,5
4953,6
4969,1
4989,5
5011,6
5027,2
5029,3
5033,0
5036,1
5061,4
5062,0
5119,3
5168,1
5173,6
5202,4
5205,4
5228,2
5238,4
5243,6
5259,6
5270,5
5297,0
