ID,cluster
22,0
42,4
56,5
58,6
64,0
88,5
95,6
163,0
198,0
202,0
209,5
218,5
223,5
228,0
245,0
246,0
322,0
325,0
342,0
344,0
352,5
358,0
362,4
451,0
471,5
474,0
500,5
518,0
519,5
545,5
559,0
602,0
604,0
611,0
618,5
635,0
654,5
664,0
675,0
720,5
728,0
774,5
804,0
810,6
823,0
827,5
841,6
860,0
871,5
873,5
885,0
890,5
895,0
896,1
901,0
903,0
965,0
989,5
992,0
1001,4
1013,5
1019,0
1029,0
1035,5
1091,0
1099,0
1109,0
1118,0
1124,5
1154,0
1169,0
1180,5
1185,0
1195,0
1199,0
1216,0
1224,0
1236,0
1248,0
1258,0
1271,0
1383,0
1410,0
1420,0
1423,0
1432,0
1441,0
1451,0
1467,0
1501,5
1507,0
1518,5
1526,0
1530,5
1531,0
1548,0
1563,0
1566,5
1567,0
1577,0
1580,0
1596,3
1640,1
1645,0
1648,0
1653,0
1685,0
1687,0
1691,0
1708,0
1710,0
1732,6
1739,0
1745,0
1768,0
1786,0
1788,1
1803,0
1810,0
1812,0
1820,5
1834,0
1841,0
1853,0
1858,0
1861,0
1892,0
1893,6
1906,5
1907,0
1910,4
1923,0
1957,4
1959,0
1979,0
1981,0
1998,6
2002,0
2064,1
2102,0
2111,5
2115,5
2194,0
2219,6
2220,0
2233,4
2246,6
2252,6
2313,5
2319,0
2341,0
2346,0
2374,0
2433,5
2453,0
2466,0
2467,6
2495,6
2497,5
2506,0
2516,0
2537,0
2550,5
2551,0
2586,5
2596,0
2599,5
2609,0
2614,0
2615,0
2621,0
2641,5
2678,0
2693,0
2699,0
2748,5
2751,0
2752,1
2764,0
2792,0
2846,6
2850,0
2865,0
2868,5
2874,0
2935,5
2938,0
2944,0
2947,5
2960,5
2989,0
3007,0
3036,4
3052,0
3062,5
3073,5
3074,5
3080,0
3085,0
3124,0
3134,5
3135,5
3137,0
3150,0
3205,5
3219,0
3220,0
3230,5
3258,0
3267,4
3289,5
3294,5
3310,5
3313,5
3366,0
3367,0
3377,5
3386,0
3387,5
3405,0
3410,0
3427,5
3433,6
3447,0
3454,0
3456,0
3467,0
3487,0
3506,0
3546,0
3614,0
3657,0
3658,0
3660,6
3691,0
3719,0
3732,0
3747,0
3770,4
3787,0
3793,5
3823,0
3863,5
3884,0
3895,0
3901,0
3908,0
3914,0
3961,6
3966,5
3969,0
3976,6
3979,0
4064,0
4069,0
4107,5
4141,0
4158,0
4161,5
4167,5
4172,0
4178,5
4189,4
4190,6
4202,0
4205,0
4213,0
4268,0
4294,0
4295,0
4352,5
4355,0
4370,0
4376,0
4383,0
4394,0
4400,6
4405,6
4438,1
4445,1
4448,0
4477,0
4488,0
4529,0
4533,0
4563,0
4564,0
4573,0
4578,0
4671,0
4672,5
4702,0
4735,5
4744,1
4754,5
4756,0
4758,0
4780,0
4785,5
4814,0
4816,0
4825,0
4847,0
4855,5
4858,5
4918,0
4953,6
4969,0
4989,0
5011,5
5027,0
5029,0
5033,5
5036,0
5061,6
5062,0
5119,0
5168,0
5173,0
5202,0
5205,0
5228,0
5238,0
5243,0
5259,0
5270,0
5297,5
5331,0
5343,0
5352,0
5353,0
5373,5
5424,0
5438,0
5451,5
5465,0
5472,5
5489,6
5494,0
5541,0
5544,0
5546,0
5582,5
5584,0
5587,0
5618,5
5629,0
5651,6
5655,0
5660,0
5685,0
5696,0
5717,5
5778,6
5799,0
5804,0
5805,0
5820,5
5846,1
5873,0
5874,0
5880,0
5926,5
5946,0
5965,0
5976,0
6009,0
6017,0
6043,0
6058,0
6063,0
6097,0
6127,5
6130,5
6153,0
6158,0
6172,1
6215,5
6217,0
6220,5
6227,0
6232,0
6233,0
6244,6
6246,5
6284,0
6285,0
6289,0
6339,0
6353,5
6354,0
6391,4
6408,5
6410,0
6447,0
6457,0
6461,0
