ID,shapelet_dist_00_L30,shapelet_dist_01_L30,shapelet_dist_02_L30,shapelet_dist_03_L30,shapelet_dist_04_L7,shapelet_dist_05_L30,shapelet_dist_06_L14,shapelet_dist_07_L14,shapelet_dist_08_L14,shapelet_dist_09_L14,shapelet_dist_10_L14,shapelet_dist_11_L7,shapelet_dist_12_L7,shapelet_dist_13_L7,shapelet_dist_14_L7
151687,4.867123518371231,4.703739072361127,4.951937996095933,3.9808604864381896,2.6457513110645903,5.343736563452353,2.5774923589118535,2.6352864776021065,2.150335715229159,2.675168365041784,2.2744920833636084,1.3334136107084853,0.9189624348794652,1.1592131221088862,0.9362046837920679
67505,3.955119366956634,4.786522059600198,4.716881025247336,4.055446311464791,2.64575131106459,4.128150879307255,2.108808912475409,2.03706114321998,1.7336560219964656,2.2577225525740117,2.4347479425679213,1.522047561193571,1.1403447389259846,1.7433755869935843,1.265388764851861
86402,3.370113626335195,5.0018403864033525,3.9160168070981602,3.6195834378049323,2.6457513110645903,4.808343178754457,1.7860665184798565,2.4898145441486728,1.5491423265770268,1.770535398588423,2.186601383574606,1.1123159436994592,1.3682239857982488,1.473352123488793,1.2404133291124413
265209,5.670144812646842,3.8471384813407066,5.321241479517967,6.15856539926248,2.64575131106459,4.619674279235699,2.5505794034239604,3.295858101210368,2.016982356308186,2.033127650203465,2.0021118911442164,1.2653639542723647,2.1767960804458117,1.2644868797561808,0.6319122500168741
5873,4.511322149927227,5.6426750984236715,3.7206786654607993,3.8207856223365044,2.6457513110645903,5.098920966210439,0.9269673354097714,2.037835697006602,2.6709598795263365,2.9103522599911416,1.9976664812233802,0.8227188210885682,0.9246429030570601,1.1166085849661573,1.0497868283653573
279832,4.496798054483056,2.7260926913272527,4.673469434177053,4.611920006072645,2.64575131106459,3.8674141216871387,2.014929758378397,2.836899048919626,1.0215741415482094,1.7564006195246813,1.9759790545944502,1.4273657046103054,1.991924867696703,1.5917983358181036,1.1370766977735831
299121,4.927532235794796,4.620364194217328,4.84867854145494,5.024344367954701,2.64575131106459,4.58272414193107,2.057530480752192,2.3096910056736086,2.17611048430045,1.4226850556148678,2.407379186286944,1.6641843739577207,1.230750007632865,1.7379069074008417,1.4950024770946366
208761,3.0933600330089006,4.344972452873951,4.577389753578826,4.610691817518794,2.6457513110645903,4.4860965078243895,1.988809397676032,2.754546378161591,1.928176323446962,1.9737197839795355,1.8948903271023811,1.3102676082449154,0.8541672643066213,1.3636369689104104,1.61115102402927
29960,3.7149301054313733,4.556351154087898,3.465567890270439,3.504992776068727,2.64575131106459,4.274122725261573,2.1228256527180025,2.34238331543628,1.4629346330601793,1.4565352061233088,2.028488560570484,1.408648840880003,1.471354069362396,1.3560664925483752,1.2948712540282201
81772,4.374620790070588,5.312938346812596,4.064346842554966,6.162731931833482,2.6457513110645903,4.875510148236249,3.053642075887271,2.8754019849627768,1.906717042981974,2.4403162600120902,1.9776558850358084,1.5852161505544833,1.1653076763144086,1.6268585795287411,0.7200699221622477
267853,4.747894419157465,5.035021345380162,4.568503079427144,4.692541821336382,2.64575131106459,5.296124238956462,2.53041059191517,2.3032213211394614,2.498166773415712,3.0180632236928924,2.9048122494550586,1.3650150960778833,1.1522683733088235,1.025039260685432,1.2299738191409668
198365,3.020520512406088,3.2635283321072026,3.0303251852998256,3.1916859062755956,0.0,3.4014644230178757,1.7735722724762066,1.9469400439676643,1.8095178085958254,2.3525894863535495,2.6568156117102433,0.4652925035996306,0.9673947698699892,1.3821334957282712,0.4759768740150991
17870,4.850456517211706,4.274351095585325,5.583576470209072,5.0002521611117245,2.64575131106459,4.2848465380286,2.5178820340238763,3.101666683795239,2.171802285380856,1.9621339632789365,2.3865750685270406,1.5637211525496184,1.2314766198888687,1.7019295276958015,0.877258148643092
26979,4.995002212351275,4.821658345190587,4.913769248727368,5.420029853435661,2.6457513110645903,4.855277965626778,2.1626100707396296,2.203922884882758,2.6203312726005135,2.2651402331723625,2.2784684722514643,1.523276910253969,1.000556097009019,0.9395297049828206,1.1609848201072668
44909,4.371806299079239,3.6322174752369154,5.197460645197836,4.985796479986165,2.6457513110645903,4.614061884646362,2.6941042003011852,2.154384720767483,1.5685036056125279,2.6984924613508077,2.1542236347722086,1.4888407676013102,1.5628008878881827,1.1841369247231706,1.1336664322733836
156736,4.406123236983932,4.645410907201831,4.873748563289176,5.724891390581283,2.64575131106459,4.658549456463283,1.4482725421752636,3.023373063654732,2.5487154794628335,2.0030572932244497,2.6739895125212563,0.6184575616648594,0.6788541662540946,1.495901896799586,1.4032862620758393
