ID,mean,median,std,cv,p90_p10_ratio,max_median_ratio,above_p90_fraction,trend_slope,acf1,acf7,acf14,zero_fraction,nonzero_fraction,num_zero_runs,avg_zero_run_length,max_zero_run_length,nonzero_mean,nonzero_std,nonzero_median,rolling7_mean_std,rolling7_std_mean,weekday_0_norm,weekday_1_norm,weekday_2_norm,weekday_3_norm,weekday_4_norm,weekday_5_norm,weekday_6_norm,weekday_weekend_gap,burstiness,num_peaks,avg_peak_spacing,top10_first_half,top10_second_half,catch22_DN_HistogramMode_5,catch22_DN_HistogramMode_10,catch22_CO_f1ecac,catch22_CO_FirstMin_ac,catch22_CO_HistogramAMI_even_2_5,catch22_CO_trev_1_num,catch22_MD_hrv_classic_pnn40,catch22_SB_BinaryStats_mean_longstretch1,catch22_SB_TransitionMatrix_3ac_sumdiagcov,catch22_PD_PeriodicityWang_th0_01,catch22_CO_Embed2_Dist_tau_d_expfit_meandiff,catch22_IN_AutoMutualInfoStats_40_gaussian_fmmi,catch22_FC_LocalSimple_mean1_tauresrat,catch22_DN_OutlierInclude_p_001_mdrmd,catch22_DN_OutlierInclude_n_001_mdrmd,catch22_SP_Summaries_welch_rect_area_5_1,catch22_SB_BinaryStats_diff_longstretch0,catch22_SB_MotifThree_quantile_hh,catch22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,catch22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,catch22_SP_Summaries_welch_rect_centroid,catch22_FC_LocalSimple_mean3_stderr,Cluster,SparsityGroup,SparsityBucket,RefinedClusterLocal,RefinedCluster,shapelet_dist_00_L30,shapelet_dist_01_L30,shapelet_dist_02_L30,shapelet_dist_03_L30,shapelet_dist_04_L7,shapelet_dist_05_L30,shapelet_dist_06_L14,shapelet_dist_07_L14,shapelet_dist_08_L14,shapelet_dist_09_L14,shapelet_dist_10_L14,shapelet_dist_11_L7,shapelet_dist_12_L7,shapelet_dist_13_L7,shapelet_dist_14_L7,shapelet_cluster
602,0.8648509235095437,0.7645371766466182,0.4152398331360206,0.3180512792262328,1.2299820728010542,1.2754017306107688,0.0965547350365295,-0.0005314885877652,-0.119894871806308,0.2643060771497561,0.3283485109540838,0.0,0.6931471805599453,0.0,0.0,0.0,0.8648509235095437,0.4152398331360206,0.7645371766466182,0.1376146614308141,0.4141633086447547,0.6440183313471721,0.7343335147369426,0.6871493466701271,0.715619458943487,0.6596330664504875,0.8564992404170054,0.69517419930113,-0.0338811425994924,-0.4551309569264433,4.795790545596741,1.3862943611198906,0.7567567567567568,0.2432432432432432,-0.716381465139836,-0.9272690262233708,0.4475350516713858,0.6931471805599453,0.0458853480465365,-0.2287558959628355,0.6652902260569791,1.791759469228055,0.0036061775970397,1.9459101490553128,0.0885710693938346,1.0986122886681098,0.6931471805599453,-0.2575342465753425,0.0575342465753425,0.1238638346811091,4.0,1.1514938679916369,0.1333333333333333,0.1333333333333333,1.791689560250547,1.176432822385741,0,dense,dense,2,dense_2,6.301205837497155,5.277631163955879,5.3166506818818355,6.089532599587017,2.64575131106459,5.339432783236083,2.5390385918058245,3.2825673373819013,2.542396833882143,3.176778635393377,1.9090544546888326,1.7335340561030217,2.076291920138862,1.1889824779038967,0.5783866116518784,0
654,2.8368982466972854,2.606607925033879,2.395947928517322,0.4831825223252197,1.7542095267764828,1.6308746226548625,0.0965547350365295,-0.0334145840685252,0.8861204993097802,0.7603755419103793,0.6591574992467245,0.0,0.6931471805599453,0.0,0.0,0.0,2.8368982466972854,2.395947928517322,2.606607925033879,2.328558277789199,1.507609000482693,0.6932690131294569,0.7063084273489642,0.6971114346499342,0.674778381238209,0.6965066592185624,0.669777241443705,1.0404084558850966,0.0038972315185372,-0.2336344603667719,4.7535901911063645,1.4228969400974374,0.8378378378378378,0.1621621621621621,-0.7448996476318603,-0.5060907055997459,3.4854540745848834,2.302585092994046,0.5029430256002015,0.0206811870679013,0.653926467406664,3.80666248977032,0.0606246218164348,2.302585092994046,0.3314443143326679,2.19722457733622,0.0114286958236227,-0.8191780821917808,0.1260273972602739,0.8823395188580522,6.0,1.032421777268876,0.1777777777777777,0.8,0.0245436926061718,0.4845724611001831,0,dense,dense,1,dense_1,3.4609511789533234,4.336701049672731,4.032275464747867,3.383130082580603,2.64575131106459,3.7478941817800333,1.56431794940626,2.0056904910340996,2.585110090146411,1.7632470203075634,2.2584951983347956,0.8743665391134147,0.7906343110502666,0.6251987379094603,0.9435682646893004,1
675,1.6644173634947894,1.5654860249049176,1.3056826564889206,0.4874581157349398,2.2166464096833285,1.4442890610183945,0.0965547350365295,0.011833391737389,0.6572893687314756,0.6173258900770457,0.5415103671630351,0.0,0.6931471805599453,0.0,0.0,0.0,1.6644173634947894,1.3056826564889206,1.5654860249049176,1.1680141417150245,0.842645837086505,0.7018277908475482,0.7162665470724308,0.67258215108425,0.6842142584064612,0.6834369343195272,0.6781473529160431,1.0425658490502068,-0.0091167622895614,-0.2283712007949962,4.700480365792417,1.4684715413220597,0.1081081081081081,0.8918918918918919,-1.0351142695628353,-1.2284881612499674,3.4616692977559613,1.0986122886681098,0.3973796474819205,0.088720705168065,0.576736828715534,2.772588722239781,0.040821994520255,1.0986122886681098,0.164138996875213,0.6931471805599453,0.0112995552539333,0.5863013698630137,-0.221917808219178,0.7036192885795454,6.0,1.0325713339218436,0.4222222222222222,0.1333333333333333,0.0245436926061718,0.7078244116238798,0,dense,dense,0,dense_0,2.369683704813513,2.7300478198033558,4.226345851898985,4.256838125168794,2.64575131106459,3.406830934806485,1.9564281709255813,2.8062458626125713,1.6215695115656896,1.7414342339824624,2.3948778162879347,1.6566555845095159,1.4332899925635922,1.8240484075110286,1.392867932028962,2
895,2.4680057262826374,2.3623622970299065,1.8841369372069052,0.4165909155570449,1.6387204796732395,1.2615488375508797,0.0965547350365295,-0.0202829777677969,0.9193342431980016,0.827398355820249,0.7318754615743569,0.0,0.6931471805599453,0.0,0.0,0.0,2.4680057262826374,1.8841369372069052,2.3623622970299065,1.83524161135426,0.9387896084994536,0.6924529192050378,0.7077754652511242,0.7057473216689888,0.6884066276138985,0.6886454668149083,0.6885855387434511,0.97458974907722,0.0242566620431744,-0.3185811406023486,4.736198448394496,1.436359222721323,0.6486486486486487,0.3513513513513513,-0.5950957424468303,-0.8106430280240497,3.796356324741861,2.3978952727983707,0.6407299150426479,0.0178191149981896,0.6453180928700638,4.634728988229636,0.0606246218164348,1.0986122886681098,0.2810705976375111,2.302585092994046,0.0132452267500206,-0.0767123287671233,0.5438356164383562,0.9233212662981202,6.0,0.974718601476514,0.1333333333333333,0.6888888888888889,0.0245436926061718,0.3803824038773771,0,dense,dense,1,dense_1,2.9486473691292567,4.532108339342868,2.9154236793781525,3.4341070852010622,2.64575131106459,4.51654652791862,1.8069215128499254,1.917750042036538,2.163157701761066,2.0623095359487227,2.8575738511542554,1.0926821522951329,0.8876352110768996,1.3461072610147515,0.5983558809048384,1
1195,3.0469725322886005,2.999026840503421,1.8370772978408751,0.2336720083110936,1.092651292720883,1.1199741546648618,0.0965547350365295,0.0103464045722972,0.5306825300193103,0.4677799316235665,0.3645080556159045,0.0,0.6931471805599453,0.0,0.0,0.0,3.0469725322886005,1.8370772978408751,2.999026840503421,1.5969096666444926,1.5156830036873212,0.652295474028655,0.7288703678300749,0.6810010683451889,0.6747290795952087,0.6748633937782643,0.7121573530732432,1.0645730167459413,-0.0723182923114937,-0.5832428371310944,4.718498871295094,1.450122402653863,0.1351351351351351,0.8648648648648649,-0.0384672458209962,-0.3022501248821118,2.543980638590273,1.0986122886681098,0.1016569177952853,0.2000573644784184,0.675128675057267,3.49650756146648,0.0769610411361283,1.0986122886681098,0.1248761484847771,0.6931471805599453,0.0155041865359652,0.1178082191780822,-0.3835616438356164,0.597818116134152,9.0,1.137584660348828,0.1333333333333333,0.8666666666666667,0.2086213871524609,0.8293031210390561,0,dense,dense,2,dense_2,2.9783394146102813,4.023725642402489,3.855183594403429,4.562789213694635,2.64575131106459,3.9026143972890734,2.500323583730424,2.75283459779375,2.62491672270416,2.670660480012936,2.3457604764234303,1.5456853703167917,0.9659872014827429,1.3865161310444452,1.4352091962605324,0
1530,2.649949070683589,2.606976779008774,1.6497612114462936,0.2774402070542648,1.1990362951836655,1.1071229783360184,0.0965547350365295,-0.0106469884483358,0.6559733723819741,0.543545005737013,0.5096722139763922,0.0,0.6931471805599453,0.0,0.0,0.0,2.649949070683589,1.6497612114462936,2.606976779008774,1.4711820179341517,1.2906939301513944,0.6506517805983716,0.6639576595762814,0.683619444946534,0.6571855327393897,0.6876887246284027,0.7791413792930508,1.0604799786684218,-0.1682886088629966,-0.51544173922268,4.736198448394496,1.4405965171968385,0.7837837837837838,0.2162162162162162,-0.8527388076007382,-0.583476698408919,2.82951746127538,1.791759469228055,0.1944013593496835,-0.1118776831988642,0.6709240437752351,3.044522437723423,0.0606246218164348,1.9459101490553128,0.1769912852961651,0.6931471805599453,0.0115608224010759,-0.6438356164383562,0.1972602739726028,0.6692492741609252,5.0,1.093804485309126,0.2222222222222222,0.7777777777777778,0.0859029241216015,0.7624641372816174,0,dense,dense,2,dense_2,4.197941406083372,5.2069385348459365,4.453201599221515,3.8052595984965727,2.6457513110645903,4.992915572265323,2.0554990282860874,2.1931961588823583,2.2200410575724905,2.63415563178162,2.5922216404887557,1.5113929456256112,1.3048809318427543,1.1660045904017282,1.068194652486645,0
1567,0.9673129758322264,0.9194856227706742,0.3159762215576607,0.205267108861469,1.0049210562585216,1.120475861784312,0.0965547350365295,-0.0002180470999918,0.7607698624558933,0.7358799039131025,0.6815748308769664,0.0,0.6931471805599453,0.0,0.0,0.0,0.9673129758322264,0.3159762215576607,0.9194856227706742,0.2846329970333953,0.1378617199740585,0.7009580004626862,0.6968839592055537,0.6844661397136491,0.6974007277111397,0.7000566936078382,0.6932119200445991,0.9721309623495415,0.0195248767492497,-0.6288594919060427,4.700480365792417,1.4706014675798846,0.4864864864864865,0.5135135135135135,-0.8727734735184283,-1.1429909205148436,3.676440508919541,1.3862943611198906,0.4108626592617339,0.033603490709621,0.6496315431237832,4.0943445622221,0.0606246218164348,1.3862943611198906,0.113920083252977,1.0986122886681098,0.0136056520557786,-0.4082191780821917,0.0821917808219179,0.7937009701395558,6.0,1.03660883383615,0.4222222222222222,0.1333333333333333,0.0245436926061718,0.5841861056307449,0,dense,dense,2,dense_2,4.603543004520614,1.5026081102961841,4.543662243294651,4.4071085978492315,2.64575131106459,3.5141868135444745,1.9164448375381546,2.102580726169238,1.329840739155782,1.3702213224582476,2.2565569630752726,1.187352778503212,1.1667938866651788,0.732198360674892,1.402907438303045,2
1892,2.2011565629664003,2.2504493385735174,1.4615630391021484,0.3451910334846372,1.9022557316318005,1.2291363375748807,0.0965547350365295,0.014020441337239,0.6776083130149485,0.3332922847839737,0.2318360665139779,0.0,0.6931471805599453,0.0,0.0,0.0,2.2011565629664003,1.4615630391021484,2.2504493385735174,1.2948473601531585,1.0400665211698334,0.6669679238763762,0.6992245046950144,0.6920327562895011,0.6960474153263407,0.6900889854179786,0.698529671718806,1.0306301626714875,-0.0291147260925468,-0.4161701451755727,4.812184355372417,1.38007672450902,0.3513513513513513,0.6486486486486487,-0.1958426441104765,0.0873142284197691,1.847564137022672,2.079441541679836,0.2532618539772404,0.100211789313158,0.6116152693349411,3.912023005428146,0.0452565915881207,2.19722457733622,0.1752226813091079,1.9459101490553128,0.0186921330121524,0.2410958904109589,-0.5972602739726027,0.7161146890607749,5.0,1.1230381197496366,0.8666666666666667,0.7333333333333333,0.1595340019401172,0.7447281725991594,0,dense,dense,2,dense_2,3.338701770924895,3.208811806863713,2.763125648022127,3.4259393294164417,2.64575131106459,4.5743842952961336,1.4612101683426586,1.681214166147407,1.727614926881073,1.468096034445454,2.4308333470283694,0.7566468042594271,0.8733091238554644,1.6518864336720267,1.423472083240533,1
2246,1.9000838075990516,1.807960848566063,1.353245240888448,0.4085947588714561,1.444065078836915,1.5193045802952936,0.0965547350365295,0.001045475454256,0.6246566450895125,0.4889309177965372,0.3660119717468969,0.0,0.6931471805599453,0.0,0.0,0.0,1.9000838075990516,1.353245240888448,1.807960848566063,1.143702016721711,1.0588162916308888,0.651426481553491,0.6145761674697074,0.6174729908768862,0.6255943720344078,0.7053942619751283,0.7905952052907206,1.2746244543448906,-0.3365891688319701,-0.32916698865153,4.663439094112067,1.4933361549448614,0.3783783783783784,0.6216216216216216,0.1452537210097017,-0.7562900588927167,1.5071546431828835,1.6094379124341005,0.1227289882163678,0.0168099363324554,0.6467579779280515,3.1354942159291497,0.01368010390408,1.9459101490553128,0.164893520713519,1.3862943611198906,0.0317486983145802,0.5205479452054795,0.1726027397260274,0.596873892395853,6.0,1.111819330341863,0.1333333333333333,0.1777777777777777,0.2331650797586328,0.8483300762554628,0,dense,dense,2,dense_2,3.7352839777699325,4.40873878222177,3.991169091604856,4.876563324085146,2.64575131106459,3.369532401216192,2.0049839736390904,2.0502917645654666,1.7968743960384328,2.0272000933179566,1.9664652480762412,1.0594351851798245,1.442608663113483,1.9650620101419696,0.9598139609056515,2
2313,3.208466658903286,3.0323534570096364,2.946851403104049,0.5653769830871938,3.282353362244629,1.4516207061483903,0.0965547350365295,-0.0507392444407153,0.9672530356137918,0.8786853331715001,0.8229895913474807,0.0,0.6931471805599453,0.0,0.0,0.0,3.208466658903286,2.946851403104049,3.0323534570096364,2.920121664946099,1.6002692798428009,0.7034350826181031,0.7032129790879218,0.7176109139769533,0.7106523939860618,0.6975553899143578,0.6642917055358476,0.9237519187895068,0.0934873027233571,-0.1362918499526182,4.605170185988092,1.5440827313899732,0.8108108108108109,0.1891891891891892,-0.9052252715508052,-1.081037860888929,3.908599525277088,4.983606621708336,0.7749378580445088,0.0015238058614969,0.5828906942899122,4.356708826689592,0.040821994520255,3.367295829986474,0.5159499946341763,3.258096538021482,0.0116960397631912,-0.6849315068493151,0.1506849315068492,0.9604901434270696,6.0,0.9417082615799688,0.1333333333333333,0.7777777777777778,0.0245436926061718,0.2868007753426373,0,dense,dense,1,dense_1,2.57928312926741,3.8483969945109697,3.1861041697036843,3.166397883849057,2.64575131106459,3.5269317752764158,1.6811114751194263,1.7413915773541557,1.9801076270859517,1.9041255343864911,2.9740517034782425,1.2461051467360107,0.2411214125209286,1.4257988993834345,1.6172439796592692,1
